"","pred","ID"
"1",1,1171
"2",1,1172
"3",1,1173
"4",1,1174
"5",1,1175
"6",1,1176
"7",1,1177
"8",1,1178
"9",1,1179
"10",1,1180
"11",1,1181
"12",1,1182
"13",1,1183
"14",1,1184
"15",1,1185
"16",1,1186
"17",1,1187
"18",1,1188
"19",1,1189
"20",1,1190
"21",1,1191
"22",1,1192
"23",1,1193
"24",1,1194
"25",1,1195
"26",1,1196
"27",1,1197
"28",1,1198
"29",1,1199
"30",1,1200
"31",1,1201
"32",1,1202
"33",1,1203
"34",1,1204
"35",2,1205
"36",1,1206
"37",1,1207
"38",1,1208
"39",1,1209
"40",1,1210
"41",1,1211
"42",1,1212
"43",1,1213
"44",1,1214
"45",1,1215
"46",1,1216
"47",1,1217
"48",1,1218
"49",1,1219
"50",1,1220
"51",1,1221
"52",1,1222
"53",1,1223
"54",1,1224
"55",1,1225
"56",1,1226
"57",1,1227
"58",1,1228
"59",1,1229
"60",1,1230
"61",1,1231
"62",1,1232
"63",2,1233
"64",1,1234
"65",1,1235
"66",1,1236
"67",1,1237
"68",1,1238
"69",1,1239
"70",1,1240
"71",1,1241
"72",1,1242
"73",1,1243
"74",1,1244
"75",1,1245
"76",1,1246
"77",1,1247
"78",1,1248
"79",1,1249
"80",1,1250
"81",1,1251
"82",1,1252
"83",1,1253
"84",1,1254
"85",1,1255
"86",1,1256
"87",1,1257
"88",1,1258
"89",1,1259
"90",1,1260
"91",1,1261
"92",1,1262
"93",1,1263
"94",1,1264
"95",1,1265
"96",1,1266
"97",1,1267
"98",1,1268
"99",1,1269
"100",1,1270
"101",1,1271
"102",1,1272
"103",1,1273
"104",1,1274
"105",1,1275
"106",1,1276
"107",1,1277
"108",1,1278
"109",1,1279
"110",1,1280
"111",1,1281
"112",1,1282
"113",1,1283
"114",1,1284
"115",1,1285
"116",1,1286
"117",1,1287
"118",1,1288
"119",1,1289
"120",1,1290
"121",1,1291
"122",1,1292
"123",1,1293
"124",1,1294
"125",1,1295
"126",1,1296
"127",1,1297
"128",1,1298
"129",1,1299
"130",1,1300
"131",1,1301
"132",1,1302
"133",1,1303
"134",1,1304
"135",1,1305
"136",1,1306
"137",1,1307
"138",1,1308
"139",1,1309
"140",1,1310
"141",1,1311
"142",1,1312
"143",1,1313
"144",1,1314
"145",1,1315
"146",1,1316
"147",1,1317
"148",2,1318
"149",1,1319
"150",1,1320
"151",1,1321
"152",1,1322
"153",1,1323
"154",1,1324
"155",1,1325
"156",1,1326
"157",1,1327
"158",1,1328
"159",2,1329
"160",1,1330
"161",1,1331
"162",1,1332
"163",1,1333
"164",1,1334
"165",1,1335
"166",1,1336
"167",1,1337
"168",1,1338
"169",1,1339
"170",1,1340
"171",1,1341
"172",1,1342
"173",1,1343
"174",1,1344
"175",1,1345
"176",1,1346
"177",1,1347
"178",1,1348
"179",1,1349
"180",1,1350
"181",1,1351
"182",1,1352
"183",1,1353
"184",1,1354
"185",1,1355
"186",1,1356
"187",1,1357
"188",1,1358
"189",1,1359
"190",1,1360
"191",1,1361
"192",1,1362
"193",1,1363
"194",1,1364
"195",1,1365
"196",1,1366
"197",1,1367
"198",1,1368
"199",1,1369
"200",1,1370
"201",1,1371
"202",1,1372
"203",1,1373
"204",1,1374
"205",1,1375
"206",1,1376
"207",1,1377
"208",1,1378
"209",1,1379
"210",1,1380
"211",1,1381
"212",1,1382
"213",1,1383
"214",1,1384
"215",1,1385
"216",1,1386
"217",1,1387
"218",1,1388
"219",1,1389
"220",1,1390
"221",1,1391
"222",1,1392
"223",1,1393
"224",1,1394
"225",1,1395
"226",1,1396
"227",1,1397
"228",1,1398
"229",1,1399
"230",1,1400
"231",1,1401
"232",1,1402
"233",1,1403
"234",1,1404
"235",1,1405
"236",1,1406
"237",1,1407
"238",1,1408
"239",1,1409
"240",1,1410
"241",1,1411
"242",1,1412
"243",1,1413
"244",1,1414
"245",1,1415
"246",1,1416
"247",1,1417
"248",1,1418
"249",1,1419
"250",1,1420
"251",2,1421
"252",1,1422
"253",1,1423
"254",1,1424
"255",1,1425
"256",1,1426
"257",1,1427
"258",1,1428
"259",1,1429
"260",1,1430
"261",1,1431
"262",1,1432
"263",1,1433
"264",1,1434
"265",1,1435
"266",1,1436
"267",1,1437
"268",1,1438
"269",1,1439
"270",1,1440
"271",1,1441
"272",2,1442
"273",1,1443
"274",1,1444
"275",2,1445
"276",1,1446
"277",1,1447
"278",1,1448
"279",1,1449
"280",1,1450
"281",1,1451
"282",1,1452
"283",1,1453
"284",1,1454
"285",1,1455
"286",1,1456
"287",1,1457
"288",1,1458
"289",1,1459
"290",1,1460
"291",1,1461
"292",1,1462
"293",1,1463
"294",1,1464
"295",1,1465
"296",1,1466
"297",1,1467
"298",2,1468
"299",1,1469
"300",1,1470
